target_end_date,output_type_id,value,reference_date,horizon,target,output_type,location
2026-02-07,0.01,80.20508552021795,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.025,93.62148835326592,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.05,106.98186906919109,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.1,124.69505121331603,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.15,138.15551129546853,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.2,150.0411638465529,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.25,160.97051294868282,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.3,171.4853974279922,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.35,181.87831533040588,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.4,192.28213623969395,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.45,202.957191970726,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.5,214.02504000891417,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.55,225.66334914403626,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.6,238.11984797601107,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.65,251.6871411655642,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.7,266.9135450256486,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.75,284.22726512999617,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.8,304.89852231869423,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.85,331.2838304331929,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.9,367.4561315991739,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.95,428.16931631316237,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.975,489.11512840933017,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.99,570.7472676019088,2026-02-07,0,wk inc flu hosp,quantile,01
2026-02-07,0.01,6.7837223279242584,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.025,8.220718502154718,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.05,9.70230674626155,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.1,11.73622509539358,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.15,13.329965231597111,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.2,14.76901310781621,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.25,16.1169385652317,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.3,17.434867769780674,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.35,18.756898943169094,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.4,20.09877697213673,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.45,21.494037565958006,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.5,22.959521840904127,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.55,24.52045638496033,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.6,26.212851728997734,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.65,28.080695290306604,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.7,30.206147726032555,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.75,32.6588422371849,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.8,35.63479962630151,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.85,39.50468308727354,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.9,44.93173558273402,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.95,54.33083630721692,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.975,64.09716846148017,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.99,77.64357944126499,2026-02-07,0,wk inc flu hosp,quantile,02
2026-02-07,0.01,59.555008522703716,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.025,70.94470071702025,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.05,82.50275229804906,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.1,98.11877310538587,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.15,110.18483925835804,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.2,120.96910734941532,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.25,130.985566474041,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.3,140.70703734899496,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.35,150.39309740240597,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.4,160.1624830546727,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.45,170.25903350486564,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.5,180.80102778311718,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.55,191.96389612339055,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.6,203.9955897132689,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.65,217.19454608736493,2026-02-07,0,wk inc flu hosp,quantile,04
